DE ref,Schoolname,Newcomer,Total enrolment,% Newcomer
3036100,"St James' Primary School and Nursery Unit, Newtownabbey",68,317,21.50%
3036103,"St Brigid's Primary School, Knockloughrim",*,260,*
3036131,"St Patrick's Primary School, Glenariffe",0,110,0.00%
3036139,"St Macnissi's Primary School, Newtownabbey",*,201,*
3036147,"St Columba's Primary School, Kilrea",38,247,15.40%
3036154,"St Patrick's Primary School, Loughgiel",0,194,0.00%
3036243,"St Joseph's Primary School, Dunloy",14,318,4.40%
3036268,St Ciaran's Primary School,*,44,*
3036292,"St Patrick's Primary School, Glen",0,189,0.00%
3036559,St Patrick's & St Brigid's Primary School,24,366,6.60%
3036562,"Holy Family Primary School, Magherafelt",148,591,25.00%
3036563,"St Nicholas' Primary School, Carrickfergus",28,178,15.70%
3036575,"St Macnissi's Primary School, Larne",5,222,2.30%
3036666,"St Colmcille's Primary School, Ballymena",70,383,18.30%
3036679,"St Brigid's Primary School, Ballymena",139,407,34.20%
3036683,"St Paul's Primary School, Ahoghill",*,74,*
3036704,Mary Queen of Peace Primary School,0,237,0.00%
3042162,Desertmartin Primary School,*,20,*
3046653,Gaelscoil an Chaistil,0,113,0.00%
3046678,Gaelscoil na Sp?ir?n?,0,49,0.00%
3046684,Gaelscoil Ghleann Darach,0,74,0.00%
3046685,Gaelscoil Eanna,6,174,3.40%
3046691,Gaelscoil an tSeancha?,6,132,4.50%
3050519,Carnlough Controlled Integrated Primary School,0,32,0.00%
3050791,Glengormley Integrated Primary School,56,350,16.00%
3050859,Crumlin Controlled Intergrated Primary School,0,166,0.00%
3050866,Ballymoney Controlled Integrated Primary School,9,355,2.50%
3052071,Carhill Integrated Primary School,*,71,*
3053333,Ballycastle Integrated Primary School,0,202,0.00%
3056231,Six Mile Integrated Primary School,12,105,11.40%
3056248,Round Tower Integrated Primary School,39,286,13.60%
3056708,Mallusk Controlled Integrated Primary School,*,21,*
3066544,Millstrand Integrated Primary School,7,245,2.90%
3066551,Braidside Integrated Primary School,*,314,*
3066561,Corran Integrated Primary School,*,159,*
3066568,Acorn Integrated Primary School,*,224,*
3066613,Spires Integrated Primary School,*,193,*
3066652,Maine Integrated Primary School,6,120,5.00%
4010512,McKinney Primary School Dundrod,0,154,0.00%
4010720,Ballycarrickmaddy Primary School,*,180,*
4010743,Largymore Primary School,*,176,*
4010762,Brownlee Primary School,11,200,5.50%
4010788,Dunmurry Primary School,31,212,14.60%
4010807,Lisburn Central Primary School,39,220,17.70%
4010882,Seymour Hill Primary School,22,236,9.30%
4010885,Tonagh Primary School,10,240,4.20%
4011265,Ballyvester Primary School,0,123,0.00%
4011300,Grey Abbey Primary School,0,93,0.00%
4011310,Carrickmannon Primary School,0,103,0.00%
4011345,Newtownards Model Primary School,9,410,2.20%
4011373,Kirkistown Primary School,6,81,7.40%
4011462,Castle Gardens Primary School,*,255,*
4011488,"Victoria Primary School, Ballyhalbert",0,141,0.00%
4011507,Portavogie Primary School,*,261,*
4011566,Ballywalter Primary School,*,168,*
4011567,Ballynahinch Primary School,*,220,*
4011578,Derryboy Primary School,0,81,0.00%
4011584,Carr Primary School,*,70,*
4011587,Dundonald Primary School,74,846,8.70%
4011588,Comber Primary School,*,388,*
4011599,Castlewellan Primary School,*,51,*
4011606,Gilnahirk Primary School,*,422,*
4011608,Anahilt Primary School,0,141,0.00%
4011619,Dromara Primary School,*,181,*
4011631,Holywood Primary School,8,458,1.70%
4011632,Cregagh Primary School,9,178,5.10%
4011645,Crawfordsburn Primary School,0,210,0.00%
4011646,"Victoria Primary School, Newtownards",15,560,2.70%
4011650,Ballyholme Primary School,0,628,0.00%
4011654,Donaghadee Primary School,*,459,*
4011657,Lisnasharragh Primary School,16,334,4.80%
4011670,Clandeboye Primary School,26,331,7.90%
4011674,Knockbreda Primary School,*,195,*
4011681,Millisle Primary School,0,227,0.00%
4011683,Braniel Primary School,22,437,5.00%
4011698,Newcastle Primary School,12,187,6.40%
4011699,Moneyrea Primary School,0,209,0.00%
4013013,Belvoir Park Primary School,20,296,6.80%
4013023,Bloomfield Primary School,7,447,1.60%
4013024,Cairnshill Primary School,25,544,4.60%
4013038,Tullycarnet Primary School,*,46,*
4013043,Lead Hill Primary School,12,140,8.60%
4013044,Carryduff Primary School,10,203,4.90%
4013045,Grange Park Primary School,0,410,0.00%
4013046,Alexander Dickson Primary School,*,85,*
4013305,"Harmony Hill Primary School, Lisburn",37,632,5.90%
4013334,Knockmore Primary School,*,192,*
4016002,Kilcooley Primary School,0,178,0.00%
4016004,Londonderry Primary School,*,396,*
4016020,Carrowdore Primary School,0,176,0.00%
4016067,Rathmore Primary School,0,639,0.00%
4016083,West Winds Primary School,6,186,3.20%
4016104,Moira Primary School,9,406,2.20%
4016111,Towerview Primary School,*,430,*
4016123,Spa Primary School,0,186,0.00%
4016126,Andrews Memorial Primary School,5,334,1.50%
4016144,Old Warren Primary School,9,159,5.70%
4016145,"Killowen Primary School, Lisburn",17,464,3.70%
4016192,Kilmaine Primary School,0,678,0.00%
4016201,Academy Primary School,0,447,0.00%
4016202,Ballinderry Primary School,*,252,*
4016235,Downpatrick Primary School,9,213,4.20%
4016396,Killinchy Primary School,*,358,*
4016399,Abbey Primary School,*,598,*
4016401,Pond Park Primary School,47,621,7.60%
4016417,Maghaberry Primary School,*,275,*
4016430,Ballymagee Primary School,*,428,*
4016441,Ballymacash Primary School,21,435,4.80%
4016503,Brooklands Primary School,12,556,2.20%
4016615,Riverdale Primary School,0,206,0.00%
4016636,Meadow Bridge Primary School,*,289,*
4016649,"Downshire Primary School,Hillsborough",*,649,*
4016650,Cumran Primary School,*,192,*
4016681,Glasswater Primary School,0,97,0.00%
4030573,Ballymacward Primary School,0,66,0.00%
4030823,Ballymacrickett Primary School,6,393,1.50%
4030897,"St Joseph's Primary School, Lisburn",50,385,13.00%
4031231,"St Joseph's Primary School, Ballycruttle",0,53,0.00%
4031328,"Christ The King Primary School, Ballynahinch",*,112,*
4031350,"St Malachy's Primary School, Kilclief",0,75,0.00%
4031485,St Caolan's Primary School,0,67,0.00%
4031526,"St Patrick's Primary School, Saul",*,183,*
4031531,"St Francis' Primary School, Drumaroad",0,94,0.00%
4031550,"St Joseph's Primary School, Crossgar",*,89,*
4031628,"St Patrick's Primary School, Holywood",22,295,7.50%
4031660,"St Joseph's Primary School, Carryduff",9,483,1.90%
4031662,"St Mary's Primary School, Comber",13,71,18.30%
4031663,"St Joseph's Primary School, Carnacaville",0,195,0.00%
4031665,"St Patrick's Primary School, Ballynahinch",24,282,8.50%
4031671,"St Patrick's Primary School, Castlewellan",0,69,0.00%
4031672,"St Mary's Primary School, Saintfield",0,57,0.00%
4031673,"St Mary's Primary School, Ardglass",0,83,0.00%
4031676,"St Bernard's Primary School, Belfast",20,429,4.70%
4033002,"St Mary's Primary School, Aughlisnafin",0,167,0.00%
4033005,"St Joseph's Primary School, Strangford",0,56,0.00%
4033007,"St Macartan's Primary School, Downpatrick",0,197,0.00%
4033008,"St Anne's Primary School, Donaghadee",6,43,14.00%
4033012,The Holy Family Primary School,0,199,0.00%
4033017,St Finian's Primary School,23,141,16.30%
4033028,"St Patrick's Primary School, Portaferry",0,115,0.00%
4033036,"St Mary's Primary School, Killyleagh",9,85,10.60%
4033037,"St Joseph's Primary School, Tyrella",0,80,0.00%
4033040,"St Brigid's Primary School, Downpatrick",*,278,*
4033306,St Aloysius Primary School,106,444,23.90%
4033307,"St Colman's Primary School, Lisburn",0,395,0.00%
4036016,"St Joseph's Primary School, Killough",0,59,0.00%
4036036,"St Malachy's Primary School, Kilcoo",0,173,0.00%
4036113,"St Nicholas' Primary School, Ardglass",0,123,0.00%
4036133,"Sacred Heart Primary School, Dundrum",0,43,0.00%
4036146,"St Comgall's Primary School, Bangor",12,309,3.90%
4036148,"St Malachy's Primary School, Bangor",21,430,4.90%
4036182,"St Colmcille's Primary School, Downpatrick",6,214,2.80%
4036285,The Good Shepherd Primary School,*,311,*
4036428,"St Mary's Primary School, Kircubbin",*,154,*
4036454,"St Malachy's Primary School, Castlewellan",18,375,4.80%
4036455,"St Patrick's Primary School, Legamaddy",0,151,0.00%
4036480,St Kieran's Primary School,0,407,0.00%
4036530,"St Mary's Primary School, Portaferry",0,205,0.00%
4036591,Our Lady Queen of Peace Primary School,*,408,*
4036618,Christ the Redeemer Primary School,0,679,0.00%
4036635,"St Mary's Primary School, Newcastle",10,412,2.40%
4036642,St Ita's Primary School,14,661,2.10%
4036693,Our Lady and St Patrick Primary School,*,466,*
4036702,Holy Evangelist Primary School,0,585,0.00%
4046600,Scoil na Fuiseoige,0,132,0.00%
4046648,Bunscoil Bheanna Boirche,0,98,0.00%
4051569,Kircubbin Integrated Primary School,*,204,*
4051601,Portaferry Integrated Primary School,0,63,0.00%
4051680,Bangor Central Integrated Primary School,35,607,5.80%
4053009,Annsborough Primary School,0,39,0.00%
4053020,Glencraig Integrated Primary School,0,215,0.00%
4053308,Fort Hill Integrated Primary School,27,231,11.70%
4056541,All Childrens Integrated Primary School,0,209,0.00%
4056709,Killyleagh Primary School,13,99,13.10%
4056710,Loughries Primary School,0,71,0.00%
4066579,Loughview Integrated Primary School,13,467,2.80%
4066588,Cedar Integrated Primary School,0,215,0.00%
4066611,Oakwood Integrated Primary School,*,201,*
4066644,Millennium Integrated Primary School,7,337,2.10%
4066668,Drumlins Integrated Primary School,*,183,*
4066682,Rowandale Integrated Primary School,7,243,2.90%
4610063,Regent House Prep Dept,0,86,0.00%
4620044,"Sullivan Upper School, Prep Dept",0,188,0.00%
4620050,Friend's School Prep Dept,*,160,*
4620051,"Wallace High School, Prep Dept",*,126,*
5010909,Foley County Primary School,0,53,0.00%
5010992,Lurgan Model Primary School,48,223,21.50%
5011019,Mullaglass Primary School,0,82,0.00%
5011095,Mullavilly Primary School,*,138,*
5011112,Hardy Memorial Primary School,23,432,5.30%
5011115,Armstrong Primary School,72,514,14.00%
5011116,Tandragee Primary School,7,341,2.10%
5011117,Drumsallen Primary School,0,23,0.00%
5011119,Darkley Primary School,*,71,*
5011124,"Kings Park Primary School, Lurgan",102,739,13.80%
5011127,"Carrick Primary School, Lurgan",109,465,23.40%
5011129,Hart Memorial Primary School,94,445,21.10%
5011132,Killylea Primary School,*,59,*
5011137,Newtownhamilton Primary School,12,68,17.60%
5011142,Clare Primary School,0,146,0.00%
5011152,Kingsmills Primary School,0,38,0.00%
5011153,Lisnadill Primary School,*,100,*
5011157,Derryhale Primary School,7,87,8.00%
5011161,Mountnorris Primary School,0,90,0.00%
5011165,Rich Mount Primary School,14,123,11.40%
5011174,Birches Primary School,0,175,0.00%
5011175,Cortamlet Primary School,0,95,0.00%
5011179,Bessbrook Primary School,8,102,7.80%
5011189,"Edenderry Primary School, Portadown",56,396,14.10%
5011190,Tullygally Primary School,24,192,12.50%
5011520,Dromore Road Primary School,21,92,22.80%
5011575,Dromore Central Primary School,21,689,3.00%
5011594,Abercorn Primary School,15,386,3.90%
5011596,Gilford Primary School,0,91,0.00%
5011598,Waringstown Primary School,*,429,*
5011602,Bleary Primary School,7,133,5.30%
5011611,Iveagh Primary School,*,276,*
5011617,Ballydown Primary School,0,343,0.00%
5011649,Kilkeel Primary School,29,444,6.50%
5011651,Milltown Primary School,0,58,0.00%
5011664,Scarva Primary School,0,85,0.00%
5011684,Annalong Primary School,0,157,0.00%
5011687,Maralin Village Primary School,*,301,*
5012280,Moneymore Primary School,5,232,2.20%
5012538,Churchill Primary School,0,71,0.00%
5012611,Lisfearty Primary School,0,27,0.00%
5012615,Ballytrea Primary School,0,76,0.00%
5012621,Aughnacloy Primary School,0,135,0.00%
5012632,Donaghmore Primary School,0,60,0.00%
5012635,Augher Central Primary,0,85,0.00%
5012636,Moy Regional Primary School,8,75,10.70%
5012643,Stewartstown Primary School,*,49,*
5012646,Howard Primary School,27,324,8.30%
5012649,Coagh Primary School,8,87,9.20%
5012657,Walker Memorial Primary School,0,67,0.00%
5012696,Carntall Primary School,0,72,0.00%
5012719,Newmills Primary School,*,85,*
5012720,Dungannon Primary School,147,267,55.10%
5012726,Cookstown Primary School,69,472,14.60%
5013019,"Edenderry Primary School, Banbridge",5,406,1.20%
5013702,Woods Primary School,*,180,*
5016007,Millington Primary School,109,663,16.40%
5016027,Drumhillery Primary School,*,86,*
5016065,Dickson Primary School,31,222,14.00%
5016078,Poyntzpass Primary School,*,112,*
5016079,The Cope Primary School,0,110,0.00%
5016080,Drumgor Primary School,102,332,30.70%
5016088,Fivemiletown Primary School,21,188,11.20%
5016098,Brackenagh West Primary School,0,171,0.00%
5016117,Ballyoran Primary School,108,270,40.00%
5016138,Bocombra Primary School,28,355,7.90%
5016141,Churchtown Primary School,0,30,0.00%
5016178,Donacloney Primary School,*,249,*
5016179,Hamiltonsbawn Primary School,*,108,*
5016200,"Queen Elizabeth II Primary School, Pomeroy",0,36,0.00%
5016221,Orritor Primary School,0,199,0.00%
5016224,Donaghey Primary School,0,84,0.00%
5016391,Bush Primary School,23,221,10.40%
5016436,Markethill Primary School,11,324,3.40%
5016451,Windsor Hill Primary School,67,225,29.80%
5016543,Moyallon Primary School,0,202,0.00%
5016599,Fair Hill Primary School,*,330,*
5016612,Bronte Primary School,0,196,0.00%
5016616,Drumadonnell Primary School,0,248,0.00%
5016643,Richmond Primary School,*,117,*
5016658,Orchard County Primary School,0,185,0.00%
5016680,Killyman Primary School,0,178,0.00%
5030958,"St John's Primary School, Eglish",0,52,0.00%
5030972,"St Oliver Plunkett's Primary School, Forkhill",*,143,*
5030975,"St Malachy's Primary School, Ballymoyer",0,69,0.00%
5031070,"St Michael's Primary School, N'hamilton",12,71,16.90%
5031080,Clintyclay Primary School,*,33,*
5031086,Clonalig Primary School,*,181,*
5031088,Dromintee Primary School,0,187,0.00%
5031103,Tannaghmore Primary School,9,643,1.40%
5031107,"St Teresa's Primary School, Tullyherron",0,50,0.00%
5031108,Clea Primary School,0,97,0.00%
5031110,Christian Brothers' Primary School,24,516,4.70%
5031126,Mount St Catherine's Primary School,115,227,50.70%
5031130,Cloughoge Primary School,12,449,2.70%
5031133,"St Malachy's Primary School, Armagh",31,206,15.00%
5031135,"St Olivers' Primary School, Carrickravaddy",0,53,0.00%
5031138,"St Joseph's Primary School, Madden",*,135,*
5031146,Anamar Primary School,0,28,0.00%
5031148,"St Patrick's Primary School, Crossmaglen",16,405,4.00%
5031154,Killean Primary School,0,131,0.00%
5031158,"St Patrick's Primary School, Newry",28,450,6.20%
5031160,"St Teresa's Primary School, Lurgan",6,194,3.10%
5031163,"St Brigid's Primary School, G'drummond",*,199,*
5031164,"St Mary's Primary School, Maghery",*,64,*
5031166,"St Michael's Primary School, Clady",0,49,0.00%
5031167,"St James' Primary School, Drumatee",0,15,0.00%
5031168,"St Patrick's Primary School, Aghacommon",9,238,3.80%
5031169,"St Brigid's Primary School, Drumilly",0,121,0.00%
5031172,"St Mary's Primary School, Granemore",*,210,*
5031176,"St Peter's Primary School, Cloughreagh",13,350,3.70%
5031183,"St Patrick's Primary School, Armagh",61,505,12.10%
5031184,"St Anthony's Primary School, Craigavon",103,689,14.90%
5031188,"St Joseph's Primary School, Meigh",7,193,3.60%
5031318,"Killowen Primary School, Rostrevor",0,65,0.00%
5031325,"St Joseph's Primary School, Ballymartin",0,91,0.00%
5031340,"St Joseph's Convent Primary School, Newry",93,497,18.70%
5031516,Moneydarragh Primary School,0,82,0.00%
5031558,Ballyholland Primary School,0,221,0.00%
5031589,Grange Primary School,0,106,0.00%
5031609,"Carrick Primary School, Warenpoint",*,400,*
5031653,"St Matthew's Primary School, Magheramayo",0,78,0.00%
5031667,"St Patrick's Primary School, Maralin",0,141,0.00%
5031669,"St John's Primary School, Gilford",0,121,0.00%
5031694,"Holy Cross Primary School, Kilkeel",0,110,0.00%
5031695,"St Mary's Primary School, Barr",0,152,0.00%
5031697,"St Patrick's Primary School, Mayobridge",17,397,4.30%
5032208,Ballylifford Primary School,0,65,0.00%
5032262,Lissan Primary School,0,125,0.00%
5032306,"St Malachy's Primary School, Glencull",*,58,*
5032387,Derrylatinee Primary School,*,79,*
5032463,Blessed Patrick O'loughran Primary School,9,85,10.60%
5032558,Laghey Primary School,15,91,16.50%
5032585,Edendork Primary School,22,317,6.90%
5032591,Roan St Patrick's Primary School,7,121,5.80%
5032592,"St Mary's Primary School, Lisbuoy",5,80,6.30%
5032624,"St Macartan's Primary School, Clogher",*,61,*
5032678,"St Patrick's Primary School, Donaghmore",20,208,9.60%
5032692,"St Mary's Primary School, Stewartstown",*,88,*
5032697,"St Patrick's Primary School, Aughadarragh",0,78,0.00%
5032698,"St Brigid's Primary School, Mountjoy",*,128,*
5032699,"St Mary's Primary School, Dunamore",0,189,0.00%
5032703,"St Peters' Primary School, Moortown",0,195,0.00%
5032713,Derrychrin Primary School,0,159,0.00%
5032714,"Holy Family Primary School, Aughamullan",7,64,10.90%
5032715,"St John's Primary School, Moy",61,188,32.40%
5032717,"St Patrick's Primary School, Mullinahoe",0,232,0.00%
5032727,"St Brigid's Primary School, Augher",*,17,*
5032729,"St John's Primary School, Kingisland",0,134,0.00%
5032734,"St Mary's Primary School, Cabra",8,199,4.00%
5032735,"St Mary's Primary School, Ballygawley",13,119,10.90%
5032736,"St Mary's Primary School, Fivemiletown",*,28,*
5033003,"St Paul's Primary School, Cabra",*,84,*
5033004,"St Mary's Primary School, Rathfriland",11,116,9.50%
5033006,"St Michael's Primary School, Finnis",*,76,*
5033011,"St Mary's Primary School, Dechomet",0,83,0.00%
5033025,"St Patrick's Primary School, Ballymaghery",7,327,2.10%
5033324,"St Patrick's Primary School, Derrynaseer",0,102,0.00%
5036000,"St Colman's Primary School, Dromore",5,106,4.70%
5036001,"St Mary's Primary School, Glassdrumman",0,35,0.00%
5036006,"St Mary's Primary School, Derrymore",*,167,*
5036009,"St Mary's Primary School, Derrytrasna",0,103,0.00%
5036031,"St Patrick's Primary School, Loup",0,166,0.00%
5036033,"St Joseph's Primary School, Galbally",6,221,2.70%
5036043,"St Mary's Primary School, Banbridge",34,509,6.70%
5036047,"St Patrick's Primary School, Annaghmore",25,233,10.70%
5036057,"St Malachy's Primary School, Drumullan",0,56,0.00%
5036061,"St Colman's Primary School, Annaclone",0,206,0.00%
5036064,"St Malachy's Primary School, C'croppan",5,319,1.60%
5036087,"St Mary's Primary School, Mullaghbawn",*,314,*
5036099,"St Patrick's Primary School, Cullyhanna",*,223,*
5036101,St Brendan's Primary School,65,464,14.00%
5036108,"St Joseph's Primary School, Killeenan",0,108,0.00%
5036110,"St Joseph's Primary School, Bessbrook",20,364,5.50%
5036118,"St Mary's Primary School, Pomeroy",17,181,9.40%
5036120,"St Patrick's Primary School, Moneymore",10,74,13.50%
5036121,St Jarlath's Primary School,27,176,15.30%
5036122,Jonesborough Primary School,*,108,*
5036130,St Laurence O'Toole's Primary School,0,61,0.00%
5036136,"Sacred Heart Primary School, Rock",*,115,*
5036173,"St John the Baptist Primary School, Portadown",75,444,16.90%
5036180,"St Oliver Plunkett's Primary School, Ballyhegan",6,107,5.60%
5036363,"St Mary's Primary School, Aughnacloy",28,103,27.20%
5036400,"St Colman's Primary School, Bann",0,126,0.00%
5036409,"St Ronan's Primary School, Newry",48,397,12.10%
5036433,"St Malachy's Primary School, Carnagat",59,300,19.70%
5036457,"St Francis' Primary School, Aghaderg",*,168,*
5036463,"St Joseph's Primary School, Caledon",*,41,*
5036504,"St Patrick's Primary School, Dungannon",670,855,78.40%
5036545,"St Colmans' Primary School, Kilkeel",7,223,3.10%
5036567,"Holy Trinity Primary School, Cookstown",193,682,28.30%
5036572,"St Colman's Primary School, Saval",0,198,0.00%
5036583,"St Dallan's Primary School, Warrenpoint",53,506,10.50%
5036586,Presentation Primary School,215,282,76.20%
5036590,Primate Dixon Primary School,127,533,23.80%
5036595,"St Peter's Primary School, Collegelands",0,150,0.00%
5036598,"Our Lady's Primary School, Tullysaran",*,165,*
5036605,"St Patrick's Primary School, Drumgreenagh",0,76,0.00%
5036610,St Francis' of  Assisi Primary School,37,170,21.80%
5036622,"St John's Primary School, Middletown",*,196,*
5036633,"St Francis' Primary School, Lurgan",63,813,7.70%
5036634,"St Clare's Abbey Primary School, Newry",143,500,28.60%
5036639,Our Lady's and St Mochua's Primary School,0,187,0.00%
5036673,St Bronagh's Primary School,*,187,*
5036675,St Joseph's and St James' Primary School,*,137,*
5046137,Seagoe Primary School,33,360,9.20%
5046241,Drelincourt Infants School,17,26,65.40%
5046597,Bunscoil an Iuir,*,89,*
5046637,Gaelscoil U? Neill,0,181,0.00%
5046692,Gaelscoil Na mBeann,5,54,9.30%
5046695,Gaelscoil Aodha Rua,0,106,0.00%
5046699,Gaelscoil Eoghain,*,102,*
5056013,Kilbroney Integrated Primary School,*,155,*
5066540,Bridge Integrated Primary School,5,413,1.20%
5066553,Portadown Integrated Primary School,39,359,10.90%
5066554,Windmill Integrated Primary School,48,248,19.40%
5066578,Saints & Scholars Int Primary School,17,239,7.10%
5066657,Phoenix Integrated Primary School,18,215,8.40%
5620263,Royal School,0,56,0.00%
